"Title", "Description"
"Engineering in Everyday Life", "Introduction to a variety of careers in engineering. Overview of the history of engineering. Inspection of the process of engineering design and manufacturing by using objects encountered in everyday life."
"Introduction to Robotics", "Introduction to robots and their components; actuators, sensors, microcontrollers, communication, and power sources. Integration of robots to complete specific tasks such as pick-and-place, obstacle course navigation, robot races, etc."
"Coastal Resilience: Adapting to Changing Coastlines", "Focuses on creating an awareness of the complex issues related to improving the resilience of coastal communities from the effects of storms and sea level rise."
"Artifacts in Modern Society", "Materials Science will be introduced to non-science and non-engineering freshman using a "case study" approach."
"Seminar in Naval Science and Technology", "Invited outside speakers, faculty and students present and discuss selected topics related to naval science and technology"
"Energy and Environment", "Technical, social, and environmental aspects of energy, including energy and the society, energy policy, global challenges of energy, energy systems (fossil fuels, renewables, storage), and environmental pollution of energy systems."
"(OCE) Computational Solutions of Engineering Problems", "Fundamentals of computational techniques in engineering, including algorithm development, programming, MATLAB scripts, numerical solutions of problems from various engineering disciplines, and error, and stability and accuracy analysis."
"Engineering Ethics", "A broad introduction to moral theory and its application to engineering, professionalism, and moral responsibility as an engineer. An understanding of engineering in a societal context."
"Honors Section of Engineering Ethics", "Honors Section of Engineering Ethics."
"Engineering Entrepreneurship I", "Fundamentals of entrepreneurship for engineers including project planning and budgeting, elements of a business plan, financial acumen, presentation skills and manufacturing planning."
"Engineering Entrepreneurship II", "Advanced concepts in engineering entrepreneurship including metrics development and utilization, negotiating, business simulation and continuous improvement."
"Advanced Technical German", "Seminar on advanced scientific and engineering topics in an international context. All reading, discussion, and associated writing is conducted in German."
"Advanced Technical Spanish", "Seminar on advanced scientific and engineering topics in an international context. All reading, writing and discussion will be conducted in Spanish."
"Advanced Technical Chinese", "Lectures and seminar on advanced scientific and engineering topics in an international context. All reading, writing, and discussion will be conducted in Chinese."
"Hydrodynamics", "Hydrodynamics of fixed and floating structures. Transport theory, viscous, inviscid, and ideal fluid flows based on continuum mechanics. Specific topics include lifting surfaces, added mass, and boundary layer theory, turbulence, linear wave theory, forces on a submerged body."
"Research Methods in Engineering", "Provide experience, practice, and knowledge in engineering research methodology, including defining a research problem, writing a research paper, giving presentations, finding relevant literature, applying scientific knowledge in practice, ethics, professionalism."
"Introduction to Electrical Engineering", "Seminar series given by instructor, invited experts, and students with a focus on electrical engineering applications and professional practice."
"Cyber Physical Security", "Basic concepts of cyber physical security, importance of data security, set and change password, authentication, authorization, data encryption and decryption, hardware and software basics of cyber-physical systems."
